site_name,to_scrap,scraper_class,priority,scraper_module
Audi Ranch Mirage,yes,AudiranchomirageWorkingScraper,low,audiranchomirage_working
Auffenberg Hyundai,yes,AuffenberghyundaiWorkingScraper,medium,auffenberghyundai_working
BMW of West St. Louis,yes,BmwofweststlouisWorkingScraper,high,bmwofweststlouis_working
Bommarito Cadillac,yes,BommaritocadillacWorkingScraper,low,bommaritocadillac_working
Bommarito West County,yes,BommaritowestcountyWorkingScraper,low,bommaritowestcounty_working
Columbia BMW,yes,ColumbiabmwWorkingScraper,high,columbiabmw_working
Columbia Honda,yes,ColumbiahondaWorkingScraper,medium,columbiahonda_working
Dave Sinclair Lincoln South,yes,DavesinclairlincolnsouthWorkingScraper,low,davesinclairlincolnsouth_working
Dave Sinclair Lincoln St. Peters,yes,DavesinclairlincolnstpetersWorkingScraper,low,davesinclairlincolnstpeters_working
Frank Leta Honda,yes,FrankletahondaWorkingScraper,medium,frankletahonda_working
Glendale Chrysler Jeep,yes,GlendalechryslerjeepWorkingScraper,low,glendalechryslerjeep_working
H&W Kia,yes,HwkiaWorkingScraper,low,hwkia_working
Honda of Frontenac,yes,HondafrontenacWorkingScraper,medium,hondafrontenac_working
Indigo Auto Group,yes,IndigoautogroupWorkingScraper,low,indigoautogroup_working
Jaguar Ranch Mirage,yes,JaguarranchomirageWorkingScraper,high,jaguarranchomirage_working
Joe Machens Chrysler Dodge Jeep Ram,yes,JoemachenscdjrWorkingScraper,low,joemachenscdjr_working
Joe Machens Hyundai,yes,JoemachenshyundaiWorkingScraper,medium,joemachenshyundai_working
Joe Machens Nissan,yes,JoemachensnissanWorkingScraper,low,joemachensnissan_working
Joe Machens Toyota,yes,JoemachenstoyotaWorkingScraper,medium,joemachenstoyota_working
Kia of Columbia,yes,KiaofcolumbiaWorkingScraper,low,kiaofcolumbia_working
Land Rover Ranch Mirage,yes,LandroverranchomirageWorkingScraper,high,landroverranchomirage_working
MINI of St. Louis,yes,MiniofstlouisWorkingScraper,low,miniofstlouis_working
Pappas Toyota,yes,PappastoyotaWorkingScraper,medium,pappastoyota_working
Porsche St. Louis,yes,PorschestlouisWorkingScraper,low,porschestlouis_working
Pundmann Ford,yes,PundmannfordWorkingScraper,medium,pundmannford_working
Rusty Drewing Cadillac,yes,RustydrewingcadillacWorkingScraper,low,rustydrewingcadillac_working
Rusty Drewing Chevrolet Buick GMC,yes,RustydrewingchevroletbuickgmcWorkingScraper,low,rustydrewingchevroletbuickgmc_working
Serra Honda of O'Fallon,yes,SerrahondaofallonWorkingScraper,medium,serrahondaofallon_working
South County Autos,yes,SouthcountyautosWorkingScraper,low,southcountyautos_working
Spirit Lexus,yes,SpiritlexusWorkingScraper,low,spiritlexus_working
Stehouwer Auto,yes,StehouwerautoWorkingScraper,low,stehouwerauto_working
Suntrup Buick GMC,yes,SuntrupbuickgmcWorkingScraper,low,suntrupbuickgmc_working
Suntrup Ford Kirkwood,yes,SuntrupfordkirkwoodWorkingScraper,medium,suntrupfordkirkwood_working
Suntrup Ford West,yes,SuntrupfordwestWorkingScraper,medium,suntrupfordwest_working
Suntrup Hyundai South,yes,SuntruphyundaisouthWorkingScraper,medium,suntruphyundaisouth_working
Suntrup Kia South,yes,SuntrupkiasouthWorkingScraper,low,suntrupkiasouth_working
Thoroughbred Ford,yes,ThoroughbredfordWorkingScraper,medium,thoroughbredford_working
Twin City Toyota,yes,TwincitytoyotaWorkingScraper,medium,twincitytoyota_working
Weber Chevrolet,yes,WeberchevWorkingScraper,low,weberchev_working
West County Volvo Cars,yes,WcvolvocarsWorkingScraper,low,wcvolvocars_working
